╔══════════════════════════════════════════════════════════════╗
║          THE SEED — MARKET EVOLUTION ENGINE                  ║
║  Config: market-config.paper.json                          ║
║  Mode: Paper                                               ║
║  Capital: $10,000                                          ║
║  Population: 50                                            ║
╚══════════════════════════════════════════════════════════════╝

[PAPER] Starting paper trading with live data...
[PAPER] Loading genome from: output_phase5/best_market_genome.json
[PAPER] Genome loaded: 2d4bc127-0090-4524-a73e-8818488b0a2c
[PAPER]   CPPN nodes: 25, connections: 87
[PAPER] Compiling brain...
[PAPER] Brain compiled: 477 neurons, 879 synapses
[PAPER] Connecting to live data feeds...
[PAPER] Trade log: output_paper\trades.jsonl
[PAPER] Brain decisions run every 15m (matching training regime).
[PAPER] Stop-loss: 2.0% per position
[PAPER] Paper trading active. Press Ctrl+C to stop.

Feed          Price    Pos       Entry   Unrl%    Net P&L       Equity  Trades    WR  Exit  ExitRaw  rSharpe    rDD  Elapsed
──────────────────────────────────────────────────────────────────────────────────────────────────────────────
[CoinglassFeed] Warnings: Exchange balance fetch failed: The requested operation requires an element of type 'Object', but the target element has type 'Array'.
  [BRAIN] Decision #0 (every 15m) at 14:12:37 UTC | price $75,486.09
92      $ 75,620.53   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:08
94      $ 75,621.89   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:08
96      $ 75,638.60   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:08
98      $ 75,640.50   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:08
100     $ 75,649.80   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:08
102     $ 75,655.35   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:09
104     $ 75,640.02   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:09
106     $ 75,668.94   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:09
108     $ 75,664.74   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:09
110     $ 75,715.25   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:09
112     $ 75,664.75   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:09
